"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kod_sdmx"
"CS","LSTOBC",3228,"1524","Česká republika a Guinea-Bissau","Česká republika a Republika Guinea-Bissau","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1526","Česká republika a Východní Timor","Česká republika a Demokratická republika Východní Timor","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"152788","Chile a Tunisko","Chile a Tunisko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1534","Česká republika a Katar","Česká republika a Stát Katar","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1542","Česká republika a Rumunsko","Česká republika a Rumunsko","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1543","Česká republika a Rusko","Česká republika a Ruská federace","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1546","Česká republika a Rwanda","Česká republika a Republika Rwanda","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1554","Česká republika a Svatá Helena","Česká republika a Svatá Helena","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1559","Česká republika a Svatý Kryštof a Nevis","Česká republika a Svatý Kryštof a Nevis","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"156","Čína","Čínská lidová republika","2009-01-01","9999-09-09","CN"
"CS","LSTOBC",3228,"1560","Česká republika a Anguilla","Česká republika a Anguilla","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"156158","Čína a Tchaj-wan","Čína a Tchaj-wan","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1562","Česká republika a Svatá Lucie","Česká republika a Svatá Lucie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"156344","Čína a Hongkong","Čína a Hongkong","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"156446","Čína a Macao","Čína a Macao","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"156520","Čína a Nauru","Čína a Nauru","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1566","Česká republika a Saint Pierre a Miquelon","Česká republika a Saint Pierre a Miquelon","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"156704","Čína a Vietnam","Čína a Vietnam","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"156776","Čína a Tonga","Čína a Tonga","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1570","Česká republika a Sv.Vincenc a Grenadiny","Česká republika a Sv.Vincenc a Grenadiny","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1574","Česká republika a San Marino","Česká republika a Republika San Marino","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1578","Česká republika a Sv.Tomáš a Princův ostrov","Česká republika a Demokratická republika Svatý Tomáš a Princův ostrov","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"158","Tchaj-wan","Tchaj-wan","2009-01-01","9999-09-09","TW"
"CS","LSTOBC",3228,"1582","Česká republika a Saúdská Arábie","Česká republika a Království Saúdská Arábie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1586","Česká republika a Senegal","Česká republika a Senegalská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1588","Česká republika a Srbsko","Česká republika a Republika Srbsko","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1590","Česká republika a Seychely","Česká republika a Seychelská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1594","Česká republika a Sierra Leone","Česká republika a Republika Sierra Leone","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"16","Americká Samoa","Americká Samoa","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1602","Česká republika a Singapur","Česká republika a Singapurská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1603","Česká republika a Slovensko","Česká republika a Slovenská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1604","Česká republika a Vietnam","Česká republika a Vietnamská socialistická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1605","Česká republika a Slovinsko","Česká republika a Slovinská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1606","Česká republika a Somálsko","Česká republika a Somálská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1610","Česká republika a Jižní Afrika","Česká republika a Jihoafrická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1616","Česká republika a Zimbabwe","Česká republika a Republika Zimbabwe","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1624","Česká republika a Španělsko","Česká republika a Španělské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1636","Česká republika a Súdán","Česká republika a Súdánská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1640","Česká republika a Surinam","Česká republika a Surinamská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1648","Česká republika a Svazijsko","Česká republika a Svazijské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1652","Česká republika a Švédsko","Česká republika a Švédské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1656","Česká republika a Švýcarsko","Česká republika a Švýcarská konfederace","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1660","Česká republika a Syrská arabská repub.","Česká republika a Syrská arabská republika","2009-01-01","9999-09-09","NAT"
